error_msg,usage_rec_no,error_code
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
OK,433722,0
OK,433723,0
OK,433724,0
OK,433725,0
OK,433726,0
OK,433727,0
OK,433728,0
OK,433729,0
OK,433730,0
OK,433731,0
OK,433732,0
OK,433733,0
OK,433734,0
OK,433735,0
OK,433736,0
OK,433737,0
OK,433738,0
OK,433739,0
OK,433740,0
OK,433741,0
OK,433742,0
OK,433743,0
OK,433744,0
OK,433745,0
OK,433746,0
OK,433747,0
OK,433748,0
OK,433749,0
OK,433750,0
OK,433751,0
OK,433752,0
OK,433753,0
OK,433754,0
OK,433755,0
OK,433756,0
OK,433757,0
OK,433758,0
OK,433759,0
OK,433760,0
OK,433761,0
OK,433762,0
OK,433763,0
OK,433764,0
OK,433765,0
OK,433766,0
OK,433767,0
OK,433768,0
OK,433769,0
OK,433770,0
OK,433771,0
OK,433772,0
OK,433773,0
OK,433774,0
OK,433775,0
OK,433776,0
OK,433777,0
OK,433778,0
OK,433779,0
OK,433780,0
OK,433781,0
OK,433782,0
OK,433783,0
OK,433784,0
OK,433785,0
OK,433786,0
OK,433787,0
OK,433788,0
OK,433789,0
OK,433790,0
OK,433791,0
OK,433792,0
OK,433793,0
OK,433794,0
OK,433795,0
OK,433796,0
OK,433797,0
OK,433798,0
OK,433799,0
OK,433800,0
OK,433801,0
OK,433802,0
OK,433803,0
OK,433804,0
OK,433805,0
OK,433806,0
OK,433807,0
OK,433808,0
OK,433809,0
OK,433810,0
OK,433811,0
OK,433812,0
OK,433813,0
OK,433814,0
OK,433815,0
OK,433816,0
OK,433817,0
OK,433818,0
OK,433819,0
OK,433820,0
OK,433821,0
OK,433822,0
OK,433823,0
OK,433824,0
OK,433825,0
OK,433826,0
OK,433827,0
OK,433828,0
OK,433829,0
OK,433830,0
OK,433831,0
OK,433832,0
OK,433833,0
OK,433834,0
OK,433835,0
OK,433836,0
OK,433837,0
OK,433838,0
OK,433839,0
OK,433840,0
OK,433841,0
OK,433842,0
OK,433843,0
OK,433844,0
OK,433845,0
OK,433846,0
OK,433847,0
OK,433848,0
OK,433849,0
OK,433850,0
OK,433851,0
OK,433852,0
OK,433853,0
OK,433854,0
OK,433855,0
OK,433856,0
OK,433857,0
OK,433858,0
OK,433859,0
OK,433860,0
OK,433861,0
OK,433862,0
OK,433863,0
OK,433864,0
OK,433865,0
OK,433866,0
OK,433867,0
OK,433868,0
OK,433869,0
OK,433870,0
OK,433871,0
OK,433872,0
OK,433873,0
OK,433874,0
OK,433875,0
OK,433876,0
OK,433877,0
OK,433878,0
OK,433879,0
OK,433880,0
OK,433881,0
OK,433882,0
OK,433883,0
OK,433884,0
OK,433885,0
OK,433886,0
OK,433887,0
OK,433888,0
OK,433889,0
OK,433890,0
OK,433891,0
OK,433892,0
OK,433893,0
OK,433894,0
OK,433895,0
OK,433896,0
OK,433897,0
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
usage code or type not on active plan,,20006
OK,433898,0
OK,433899,0
OK,433900,0
OK,433901,0
OK,433902,0
OK,433903,0
OK,433904,0
OK,433905,0
OK,433906,0
OK,433907,0
OK,433908,0
OK,433909,0
OK,433910,0
OK,433911,0
OK,433912,0
OK,433913,0
OK,433914,0
OK,433915,0
OK,433916,0
OK,433917,0
OK,433918,0
OK,433919,0
OK,433920,0
OK,433921,0
OK,433922,0
OK,433923,0
OK,433924,0
OK,433925,0
OK,433926,0
OK,433927,0
OK,433928,0
OK,433929,0
OK,433930,0
OK,433931,0
OK,433932,0
OK,433933,0
OK,433934,0
OK,433935,0
OK,433936,0
OK,433937,0
OK,433938,0
OK,433939,0
OK,433940,0
OK,433941,0
OK,433942,0
OK,433943,0
OK,433944,0
OK,433945,0
OK,433946,0
OK,433947,0
OK,433948,0
OK,433949,0
OK,433950,0
OK,433951,0
OK,433952,0
OK,433953,0
OK,433954,0
OK,433955,0
OK,433956,0
OK,433957,0
OK,433958,0
OK,433959,0
OK,433960,0
OK,433961,0
OK,433962,0
OK,433963,0
OK,433964,0
OK,433965,0
OK,433966,0
OK,433967,0
OK,433968,0
OK,433969,0
OK,433970,0
OK,433971,0
OK,433972,0
OK,433973,0
OK,433974,0
OK,433975,0
OK,433976,0
OK,433977,0
OK,433978,0
OK,433979,0
OK,433980,0
OK,433981,0
OK,433982,0
OK,433983,0
OK,433984,0
OK,433985,0
OK,433986,0
OK,433987,0
OK,433988,0
OK,433989,0
OK,433990,0
OK,433991,0
OK,433992,0
OK,433993,0
OK,433994,0
OK,433995,0
OK,433996,0
OK,433997,0
OK,433998,0
OK,433999,0
OK,434000,0
OK,434001,0
OK,434002,0
OK,434003,0
OK,434004,0
OK,434005,0
OK,434006,0
OK,434007,0
OK,434008,0
OK,434009,0
OK,434010,0
OK,434011,0
OK,434012,0
OK,434013,0
OK,434014,0
OK,434015,0
OK,434016,0
OK,434017,0
OK,434018,0
OK,434019,0
OK,434020,0
OK,434021,0
OK,434022,0
OK,434023,0
OK,434024,0
OK,434026,0
OK,434027,0
OK,434028,0
OK,434029,0
OK,434030,0
OK,434031,0
OK,434032,0
OK,434033,0
OK,434034,0
OK,434035,0
OK,434036,0
OK,434037,0
OK,434038,0
OK,434039,0
OK,434040,0
OK,434041,0
OK,434042,0
OK,434043,0
OK,434044,0
OK,434045,0
OK,434046,0
OK,434047,0
OK,434048,0
OK,434049,0
