error_msg,usage_rec_no,error_code
OK,385173,0
OK,385174,0
OK,385175,0
OK,385176,0
OK,385177,0
OK,385178,0
OK,385179,0
OK,385180,0
OK,385181,0
OK,385182,0
OK,385183,0
usage code or type not on active plan,,20006
OK,385184,0
usage code or type not on active plan,,20006
OK,385185,0
OK,385186,0
OK,385187,0
OK,385188,0
OK,385189,0
OK,385190,0
OK,385191,0
OK,385192,0
OK,385193,0
OK,385194,0
OK,385195,0
OK,385196,0
OK,385197,0
OK,385198,0
OK,385199,0
usage code or type not on active plan,,20006
OK,385200,0
usage code or type not on active plan,,20006
OK,385201,0
OK,385202,0
OK,385203,0
OK,385204,0
OK,385205,0
OK,385206,0
OK,385207,0
OK,385208,0
OK,385209,0
OK,385210,0
OK,385211,0
OK,385212,0
OK,385213,0
OK,385214,0
OK,385215,0
usage code or type not on active plan,,20006
OK,385216,0
usage code or type not on active plan,,20006
OK,385217,0
OK,385218,0
OK,385219,0
OK,385220,0
OK,385221,0
OK,385222,0
OK,385223,0
OK,385224,0
OK,385225,0
OK,385226,0
OK,385227,0
OK,385228,0
OK,385229,0
OK,385230,0
OK,385231,0
usage code or type not on active plan,,20006
OK,385232,0
usage code or type not on active plan,,20006
OK,385233,0
OK,385234,0
OK,385235,0
OK,385236,0
OK,385237,0
OK,385238,0
OK,385239,0
OK,385240,0
OK,385241,0
OK,385242,0
OK,385243,0
OK,385244,0
OK,385245,0
OK,385246,0
OK,385247,0
usage code or type not on active plan,,20006
OK,385248,0
usage code or type not on active plan,,20006
OK,385249,0
OK,385250,0
OK,385251,0
OK,385252,0
OK,385253,0
OK,385254,0
OK,385255,0
OK,385256,0
OK,385257,0
OK,385258,0
OK,385259,0
OK,385260,0
OK,385261,0
OK,385262,0
OK,385263,0
usage code or type not on active plan,,20006
OK,385264,0
usage code or type not on active plan,,20006
OK,385265,0
OK,385266,0
OK,385267,0
OK,385268,0
OK,385269,0
OK,385270,0
OK,385271,0
OK,385272,0
OK,385273,0
OK,385274,0
OK,385275,0
OK,385276,0
OK,385277,0
OK,385278,0
OK,385279,0
usage code or type not on active plan,,20006
OK,385280,0
usage code or type not on active plan,,20006
OK,385281,0
OK,385282,0
OK,385283,0
OK,385284,0
